'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MAGNET AERO Western Australia for August 2022,,,,,,,,,,
Issued at 06:30 GMT on Tuesday 23 August 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MAGNET AERO,01/08/2022,4.4,0.0, ,23.2,9.2,98,33,8.00,8.49
MOUNT MAGNET AERO,02/08/2022,3.6,12.4, ,18.3,11.0,89,43,8.79,14.27
MOUNT MAGNET AERO,03/08/2022,3.0,1.4, ,17.8,11.3,96,52,8.05,14.86
MOUNT MAGNET AERO,04/08/2022,2.5,0.8, ,17.3,8.6,98,51,4.44,14.26
MOUNT MAGNET AERO,05/08/2022,2.3,0.6, ,15.8,5.7,99,40,2.44,16.32
MOUNT MAGNET AERO,06/08/2022,2.3,0.0, ,17.5,3.7,92,32,1.70,16.48
MOUNT MAGNET AERO,07/08/2022,2.6,0.0, ,20.8,5.0,93,30,1.84,16.58
MOUNT MAGNET AERO,08/08/2022,2.9,0.2, ,21.8,5.5,98,24,2.80,9.83
MOUNT MAGNET AERO,09/08/2022,2.6,0.0, ,14.2,9.5,90,49,5.80,13.34
MOUNT MAGNET AERO,10/08/2022,2.6,0.6, ,15.2,3.4,98,40,3.84,16.80
MOUNT MAGNET AERO,11/08/2022,3.1,0.0, ,18.5,3.1,89,32,3.43,17.01
MOUNT MAGNET AERO,12/08/2022,4.1,0.0, ,21.4,6.4,76,21,4.04,17.12
MOUNT MAGNET AERO,13/08/2022,6.1,0.0, ,26.1,8.8,88,19,7.34,15.50
MOUNT MAGNET AERO,14/08/2022,2.8,0.0, ,22.0,7.9,99,37,2.01,17.32
MOUNT MAGNET AERO,15/08/2022,5.2,0.0, ,28.8,11.6,73,34,5.02,15.65
MOUNT MAGNET AERO,16/08/2022,2.9,4.4, ,18.0,17.3,97,40,6.75,5.98
MOUNT MAGNET AERO,17/08/2022,3.6,21.6, ,19.7,11.8,96,47,7.95,16.20
MOUNT MAGNET AERO,18/08/2022,3.0,1.0, ,16.6,8.2,95,40,4.34,17.12
MOUNT MAGNET AERO,19/08/2022,3.3,0.0, ,19.3,5.0,90,24,2.94,17.84
MOUNT MAGNET AERO,20/08/2022,3.8,0.0, ,23.4,6.2,87,22,2.92,18.22
MOUNT MAGNET AERO,21/08/2022, ,0.0, , ,6.7,92,17,2.84,18.30
MOUNT MAGNET AERO,22/08/2022, , , ,19.2, ,88,40,5.50,18.43
Totals:,,66.7,43, ,,,,,, 
